original,predicted,wer:13.96,cer:3.94,num_tokens,num_chars,substitutions,insertions,deletions
elimu ya ngazi ya tatu pia inaitwa elimu ya juu inahusu viwango vya elimu vya bila mukazo kisha mwisho ya elimu ya sekondari ao lycee,elimu ya ngazi ya tatu pia inaitwa elimu ya juu inahusu viwango vya elimu vya bila mukazo kisha mwisho ya elimu ya sekondari ao luc,1,3,25,109,1,0,0
serkali ililazimisha mafungo ya juma mbili kwa kusaidia wanafunzi kujitayarisha kuanza kusoma kwa mbali kwa muda mufupi,serkali ililazimisha mafungo ya juma mbili kwa kusaidia wanafunzi kujitayarisha kuanza kusoma kwa mbali kwa muda mufupi,0,0,17,103,0,0,0
salimia watu bila kuwagusa,salimia watu bila kuwa gusa,2,0,4,23,1,1,0
muviachie wafanyakazi wa kiafya,muviacheo wafanyakazi wa kiafya,1,2,4,28,1,0,0
kartasi ya mafasirio zaidi kuhusu hatua za kuingia inatolewa kwa siku na iata,kartasi ya mafasirio zaidi kuhusu hatua za kuingia inatolewa kwa siku na iyahata,1,3,13,65,1,0,0
maambukizi kupitia watu wasiyo onesha alama ilijulikana lakini kiwango ya iyi hali bado ingali kwenye uchunguzi,maambukizi kupitia watu wasiyo onesha alama ilijulikana lakini kiwango ya hii hali bado ingali kwenye uchunguzi,1,2,16,96,1,0,0
hasa epuka kusafiri na mashua za starehe,hasa epuka kusafiri na mashua za starehe,0,0,7,34,0,0,0
lakini matokeo inafatana na mawasiliano yenye watoto wanaendelea nayo inje ya masomo,lakini matokeo inafatala la mawaasiliano yenye watoto wanaendelea nayo inje ya masw,4,6,12,73,4,0,0
kuchagula namna ya kufundisha inayo stahili kufuatana na hali ya kufungwa kwa masomo na kujifungia ku nyumba,kuchagula namna ya kufundisha inayo stahili kufuatana na hali ya kufungwa kwa masomo na kujifungia ku nyumba,0,0,17,92,0,0,0
lakini walisema kama hakukuwa ku chesapeake energy arena ya muji wa oklahoma kwenye utah jazz ingepashwa cheza na oklahoma city thunder,lakini walisema kama hakukuwa kuchesa paque na jiarena ya muji wa uclahoma kwenye utajaz ingepashwa cheza na oclhoma siti fanda,10,20,21,115,9,0,1
uwezo wa kuambukizwa tena na virusi kisha kuipona kwa mara ya kwanza haiyahakikishwa,uwezo wa kuambukizwa tena na virusi kisha kuipona kwa mara ya kwanza haiya hakikishwa,2,0,13,72,1,1,0
ulaya njo eneo mupya ya ugonjwa,ulaya njo eneo mupya ya ugonjwa,0,0,6,26,0,0,0
wanaweza panga safari kujua ndege zenye hazisafiri kila siku ao kukopesha franga kwa haraka juu ya kulipia safari,wanaweza panga safari kujua ndege zenye hazisafiri kila siku ao kukopesha franga kwa haraka juu ya kulipia safari,0,0,18,96,0,0,0
hata kama kutengwa mbali na wengine hailazimishwi unaweza ombwa kujitenga mwenyewe kwa kubakia nyumbani na kuepuka kuwasiliana na wengine,hata kama kutengwa mbani wengine hailazimishwi unaweza ombwa kujitenga mwenyewe kwa kubakia nyumbani na kuepuka kuwasiliana na wengine,2,3,19,119,1,0,1
kiwango ya kweli ya virusi kusambarana haijulikani kwa kutokana na hesabu kidogo ya vipimo yenye ilifanyika,kiwango ya ukweli ya virusi kusambarana haijulikana kwa kutokana na hesabu kidogo ya vipimo yenye elifanyika,3,3,16,92,3,0,0
masomo inasaidiya kupata elimu ya musingi ya maana na wakati masomo zinafungwa watoto wa adolescents na vijana wazima wanakosa fursa ya maendeleo na mafanyikio,masomo inasaidia kupata elimu ya musingi ya marala na wakati masomo zinafungwa watoto wa adolisons na vijala wazima wanakusa fursa ya maendeleo na mafanyakeo,6,11,24,136,6,0,0
zingine ma matchs zenye zilipangwa siku ya tatu zote zilichezwa kutokana na habari ya nbc news,zingine maa mache zenye zilipangwa siku ya tatu zote zilichezwa kutokana na habari ya ncmbdc neus,4,7,16,79,4,0,0
iyi ni kweli hasa wakati kufungwa inaendelea kwa muda murefu masomo ni fasi ya shuruli za kijamii na mawasiliano kati ya watu,hii ni kweli asa wakati kufungwa inaendelea kwa muda mrefu masomo ni fasi ya shuhuli za kijamii na mawasiliano kati ya watu,4,5,22,104,4,0,0
huko china hatua za maana zinatofautiana sana kufatana na jimbo muji hata wilaya ao kijiji ziliwekwa kuhusu usafirishaji na shuruli,huko china hatua za mahana zinatofautiana sana kufatana na jimbo muji hata ilaya ao kijiji zilizo wekwa kuhusu usafirishaji na shuruli,4,4,20,112,3,1,0
kwa wanafunzi wasiyokuwa na mtandao wa internet nyumbani kwao hio inaongeza magumu ya kupata mafunzo kwa mbali,kwa wanafunzi wasiyo kuwa na mtandao wa internet nyumbani kwao hiyo inaongeza magumu ya kupata mafunzo kwa mbali,3,1,17,94,2,1,0
mifano ya hatua mu maeneo mbalimbali za china iyi liste ni ya mufupi,mifano ya hatua mu maeneo mbali mbali za chana hii liste ni ya mfupi,5,4,13,56,4,1,0
uko na shida ya kupumua kwa sasa,uko na shida ya kupumua kwa sasa,0,0,7,26,0,0,0
elimu ya shule ya musingi ao ya chini inalingana na miaka ine mpaka saba ya miaka ya kwanza ya elimu inayo paniwa ku masomo,elimu ya shule ya musingi ao ya chini inalingana na miaka ine mpaka saba ya miaka ya kwanza ya elimu inayo paniwa ku masomo,0,0,24,100,0,0,0
kipimo ya musingi ya sasa inafanywa kwa kukamata echantillon na kuichunguza ili kutafuta ma alama za kijenetiki zenye za virusi,kipimo ya msingi ya sasa inafanyika kwa kukamata echantillons na kuchunguza ili kutafuta ma alama za kijenetiqi za virusi,6,11,20,108,5,0,1
maumivu ya mwili na mafua,maumivu ya mwili na mafua,0,0,5,21,0,0,0
kupunguza ao kusimamisha kwa namna mingi za usafirishaji,kupunguza ao kusimamisha kwa namna mingi za usafirishaji,0,0,8,49,0,0,0
uchuruzi wa mask ya kujikinga ya uwezo ya chini mpaka ya uwezo ya kawaida inaweza kuazibiwa kwa kifungo cha maisha,uchuruzi wa maske ya kujikinga ya uwezo ya chini mpaka ya uwezo ya kawaida inaweza kuazibiwa kwa kifungo cha maisha,1,1,20,95,1,0,0
safisha ma fasi kwa kutumia dawa inayofaa kama vile eau de javel yenye kuchangwa na maji,safisha mafasi kwa kutumia dawa inayo faa kama vile orde javel yenye kuchanganywa na maji,7,6,16,73,4,1,2
kutayarisha maulizo uchunguzi ao mazowezi za mafunzo juu ya kufuatilia kwa ukaribu ginsi mafunzo ya wanafunzi inaendelea,kutayarisha maulizo uchunguzi ao maelezo za wanafunzi juu ya kufuatilia kwa ukaribu gisi mafunzo ya wanafunzi inaendelea,3,9,17,104,3,0,0
kutumikisha baguettes tu miti ku sahani moja hasa inchini china inapashwa epukwa,kutumikisha bagete tu tumiti kusahani moja hasa inchini chana inapashwa epukwa,5,5,12,69,4,0,1
kuvala aina fulani ya mask inalazimishwa mu nchi na miji mbalimbali juu ya kupunguza maambukizi katika jamii,kuvala aina fulani ya maske inalazimishwa mu nchi na niji mbali mbali juu ya kupunguza maambukizi katika jamii,4,2,17,92,3,1,0
na maumivu inatokea mu kifua yako,na maumivu inatokea mu kifua yako,0,0,6,28,0,0,0
kulazimishwa kujiandikisha ku jina yako ya kweli kwa kadi za usafiri ya watu wengi,kulazimishwa kujiandikisha ku njia yako ya kweli kwa kadi za usafiri ya watu wengi,1,2,14,69,1,0,0
mu toilette wc tumikisha kipanguziyo ya kartasi kwa kufunga bomba na kufungua mulango kisha uitupe,mutallet yani wc tumikisha kipanguzio ya karatasi kwa kufunga bomba na kufungua mulango kisha uitupe,4,8,15,84,4,0,0
lakini matokeo inafatana na mawasiliano yenye watoto wanaendelea nayo inje ya masomo,lakini matokeo inafatana na mawasiliano yenye watoto wanaendelea nayo inje ya masomo,0,0,12,73,0,0,0
jaribu ku lipiya kiti ya pembeni ya dirisha na epuka kuzunguruka mu ndege wakati ya safari,jaribu kulipia kiti ya pembeni ya dirisha na epuka kuzunguruka mu ndege wakati ya safari,2,1,16,75,1,0,1
hata kama shule mingi za musingi na sekondari mu dunia zilifungwa kwa sababu ya ugonjwa ya corona hatua zinazo husu mipango za elimu ya mbele ya mafunzo ya musingi zilibadilika,hata kama shule mingi za musingi na sekundari mu dunia zilifungwa kwa sababu ya ugonjwa ya corona hatua zinazohusu mipango za elimu ya mbele ya mafunzo ya musingi zilibadilika,3,1,30,147,2,0,1
na alama zako hazipotei mu siku tano,na alama zako hazipotei mu siku tano,0,0,7,30,0,0,0
serkali mingi mu dunia nzima zilishauri raia wao kutosafiri bila sababu ya maana wakati wa muripuko ya ugonjwa,serkali mingi mu dunia mzima zilishauri raia wao kutosafiri bila sababu ya maana wakati wa muripuko ya ugonjwa,1,1,18,93,1,0,0
nitakutumia picha ku ecran yako,nitakutumia picha ku écran yako,1,1,5,27,1,0,0
ulaya njo eneo mupya ya ugonjwa,ulaya njo eneo impyer ya ugonjwa,1,4,6,26,1,0,0
usipanguze kiti yakufunikwa na kitambala juu baridi inaweza sababisha maambukizi,usipanguze kitu ya kufunikiwa na kitambala juu baridi naweza sababisha maambukizi,4,3,10,71,3,1,0
kufungiwa mu eneo mbalimbali inagandamiza masomo juu wazazi na viongozi wanaongoza watoto kwenye masomo zenye zinafungula,kufungiwa mueneo mbali mbali inagandamiza masomo juu wazazi na viongozi wanaongoza watoto kwenye masomo zenye zinafungula,3,0,16,106,3,0,0
nilifanya ku mwili pembeni ya kifua,nilifanya ku mwili pembeni ya kifua,0,0,6,30,0,0,0
kama unawaza ulisha ambukizwa pigia hospitali simu ao huduma za afya haraka mbele ya kwenda huko wepeke juu ya kuepuka kuambukiza wengine,kama unawanza kulisha ambukizwa kupigia hospitali simu ao huduma za afia haraka mbele ya kwenda huko wepeke juu ya kuepuka kuambukiza wengine,4,5,22,116,4,0,0
ukosefu ya kutumia teknolojia ao connexion internet ya muzuri inazuwia maendeleo ya mafundisho hasa kwa wanafunzi wanao tokea kwenye jamaa zisizo jiweza,ukosefu ya kutumia teknolojia ao coneption internet ya muzuri inazuwia maendeleo ya mafundisho hasa kwa wanafunzi wanaotokea kwenye jamaa zisizo jiwezo,4,4,22,131,3,0,1
hakikisha kama habari zote na mashauri yenye unapata zinahakikishwa na waganga na wanasayansi ambao wanajulikana muzuri,hakikisha kama habari zote na mashauri yenye unapata zinahakikishwa na waganga na wasaa wasayansi ambao wanajulikana muzuri,2,4,16,104,1,1,0
wakati ya kutumia kitambala ya kutoa buchafu fuata maelekezo yenye iko ku emballage,wakati hakutumia kitambala ya kutoa buchafu fuata maelezo yenye iko kuambalari,5,7,13,71,3,0,2
bakia kwa umbali wa karibu metre moja na bora zaidi metre mbili migulu sita,bakia kwa umbali wa karibu metre moja na bora zaidi metres mbili miguu sit,3,3,14,62,3,0,0
raisi wa marekani trump anatangaza virusi ya corona kuwa ugonjwa inayo husu inchi muzima,raisi wa marekani trump alitangaza virusi ya corona kuwa ugonjwa inayo husu inchi muzima,1,2,14,75,1,0,0
lakini kampuni zingine zaidi ya maduka za kuuzisha chakula ma pharmacies zinafungwa na usafirishaji ya watu wengi zilipunguzwa ao kusimamishwa,lakini kampuni zingine zaidi ya maduka za kuuzisha chakula ma farmacie zinafungwa na usafirishaji ya watu wengi zilipunguzwa ao kusimamishwa,1,3,20,123,1,0,0
masomo ya elimu ya juu na vyuo vikuu inchini marekani ziliombwa kurudishia kila mwanafunzi franga ya masomo ya kupanga nyumba na ya mahitaji ya kawaida,masomo ya elimu ya juu na vyuo vikuu inchini marekani ziliombwa kurudishia kila mwanafunzi franga ya masomo ya kupanga nyumba na ya mahitaji ya kawaida,0,0,25,127,0,0,0
zaidi ya hayo katika muda ambapo kufunguliwa kwa masomo kisha kipindi yenye zilikuwa zimefungwa ilisababisha maambukizi kuongezeka,zaidi ya hayo katika muda ambapo kufunguliwa kwa masomo kisha kipindi yenye ilikuwa zimefungwa ilisababisha maambukizi kuongezeka,1,1,17,114,1,0,0
hesabu ya wanafunzi inatokana na habari mupya za institut ya statisque ya unesco,hesabu ya wanafunzi inatokana la habari mupya za anstoti ya statipe ya inesco,4,9,13,68,4,0,0
kuvala mask inashauriwa kwa wale wote wanao shakiwa kuwa na ugonjwa na wale wenye kuwa karibu na watu waliyo ambukizwa,kuvala maske inashauriwa kwa wale wote wanao shakiwa kuwa na ugonjwa na wale wenye kuwa karibu na watu waliyo ambukizwa,1,1,20,99,1,0,0
mifano ya hatua mu maeneo mbalimbali za china iyi liste ni ya mufupi,mifano ya hatua mu maeneo mbali mbali za china hii listes ni ya mufupi,4,3,13,56,3,1,0
naona kama inaanzia katikati ya kifua yako na inapanda mpaka ku shingo yako,naona kama inaanzia katikati ya kifua yako na inapana mpaka ku shingo yako,1,1,13,63,1,0,0
kufungwa kwa masomo iko na vinyume ya mubaya ku matokeo ya mafunzo ya wanafunzi,kufungwa kwa masomo iko na vinyume ya mubaya ku matokeo ya mafunzo ya wanafunzi,0,0,14,66,0,0,0
manaake maumivu mu kifua yako ilianza iyi asubui,manaake maumivu mu kifua yako ilianza hii asubui,1,2,8,41,1,0,0
ile inaonesha ya kama wafanyakazi wengi wa kiafya hawapatikani ndani ya masomo kwenye wako na lazima nabo zaidi wakati ya shida ya kiafya,ile inaonesh kama wafanyakazi wengi wa kiafya hawapatikani ndani ya masomo kwenye wako na lazima nabo zaidi wakati ya shida ya kiafya,2,3,23,115,1,0,1
huduma za kawaida za ma consulats kama vile kutayarisha visa na passeports zinaweza kusimamishwa ao kupunguzwa kwa haraka kulingana na eneo na consulat,huduma za kawaida za ma consulants kama vile kutayarisha visan na paspot zinaweza kusimamishwa ao kupunguza kwa haraka kulingana na eneo na consulats,5,8,23,129,5,0,0
wakati mask inalobana itupe mbali na uibadilishe,wakati maski nalobana itupembali na uibadilishe,4,0,7,42,3,0,1
inaonekana kama haukosi kitu ya maana ukibakia ku nyumba juu maeneo mingi ya kujifurahishia mu dunia yote zinafunga milango kwa sasa juu ya kuzuia iyi magonjwa isisambarane,inaonekana kama haukosi kitu ya maana ukibaki ku nyumba juu maeneo mingi ya kujifurahishia mu dunia yote zinafunga milango kwa sasa juu ya kuzuwia hii magonjwa isisambarane,3,4,27,146,3,0,0
iyi haiko tu juu ya kukukinga lakini pia kukinga batu benye unawasiliana nabo,hii haiko tu juu ya kukukinga lakini pia kukinga batu benye unawasiliana nabo,1,2,13,65,1,0,0
kama unaambukizwa na virusi ya corona inchi zitakutenga mpaka vipimo mingi vya kufatana vifanyike na kuhakikisha kama hauna virusi ya corona,kama unaambukizwa na virusi ya corona inchi zitakutenga mpaka vipimo mingi vya kufatana vifanyike na kuhakikisha kama hauna virusi ya corona,0,0,21,120,0,0,0
vala mask ya kiganga na ufate mashauri ya waongozi na waganga,vala maske ya kiganga na ufate mashauri ya wngozi na waganga,2,3,11,51,2,0,0
kama musafiri kwenye ndege anaambukizwa iyi hatua inasaidia viongozi kupata watu wenye waliikala karibu naye juu ya kuwapima ao kuwatenga mbali na wengine,kama musafiri kwenye ndege anaambukizwa hii hatua inasaidia viongozi kupata watu wenye walikaa karibu naye juu ya kuwapima ao kuwatenga mbali na wengine,2,4,23,132,2,0,0
na uko na moja katika alama hizi zaidi ya maumivu ya kifua,na uko na moja katika alama hizi zaidi ya maumivu ya kifua,0,0,12,47,0,0,0
nilifanya ku mwili pembeni ya kifua,nilifanya ku mwili pembeni ya kifua,0,0,6,30,0,0,0
panguza fasi za ngufu na kama kiti yako ni ya ngozi uipanguze pia,panguza fasi za nguvu na kama kiti yako ni ya ngozi uipanguze pia,1,1,13,53,1,0,0
ukiugusa nawa mikono yako mara moja,ukiegusa na we mikono yako mara moja,3,2,6,30,2,1,0
elimu ya shule ya musingi ao ya chini inalingana na miaka ine mpaka saba ya miaka ya kwanza ya elimu inayo paniwa ku masomo,elimu ya shule ya musingi alo ya chini inalingana na miaka ine mpaka saba ya miaka ya kwanza ya elio inayo paniwa ku masomo,2,3,24,100,2,0,0
mfano wa kihesabu inaonesha kama maambukizi ya muripuko ya magonjwa inaweza kucheleweshwa kupitia kufungwa kwa masomo,mfano wa kihesabu inaonesha kama maambukizi ya miripuko ya magonjwa inaweza kuchelewesha kupitia kifungwa kwa masomo,3,3,16,102,3,0,0
kisha kupima zaidi ya watoto mia moja ndani ya shule mwanafunzi umoja wa masomo ya maternelle alikutwa na virusi,kisha kupima zaidi ya watoto  10 ndani ya shule wanafunzi moja wa masom vya ma gamel halikutwa na virusi,9,16,19,94,7,1,1
huduma zinazo kataliwa kwa raia wa inchi zingine ndani ya ma restaurants kampuni za usafirishaji na huduma zingine,huduma zinazo kataliwa kwa raia wa inchi zingine ndani ya ma restaurants kampuni za usafirishaji na huduma zingine,0,0,18,97,0,0,0
vituo vya kuchunga na kuzuwia magonjwa vya serkali ya marekani,vituo vya kuchunga na kuzuia magonjwa vya serkali ya marekani,1,1,10,53,1,0,0
na kama unakohola,na kama unakohola,0,0,3,15,0,0,0
zingine zinahusu miunganisho zisizo kuwa za kawaida na escales mingi na kuchelewesha kwa muda mrefu kati ya safari za ndege,zingine zinahusu miunganisho zisizo kuwa za kawaida na eskali mingi na kuchelewesha kwa muda mrefu kati ya safari za ndege,1,3,20,104,1,0,0
mawasiliano inaweza kuwa shida,mawasiliano inaweza kuwa shida,0,0,4,27,0,0,0
kuko safari zenye haziwezekani,kuko safari yenyewe haii wezekani,3,4,4,27,2,1,0
sizani kama tension yangu inapanda,sizani kama atension yangu inapanda,1,1,5,30,1,0,0
usisimame ao kuikala karibu na watu ambao wanaweza kuwa wagonjwa,usisimame au kuikala karibu na watu ambao wanaweza kuwa wagonjwa,1,1,10,55,1,0,0
kumbuka kwamba mask hazikamati fasi ya usafi bora endelea kunawa mikono mara kwa mara,kumbuka kwamba maske hazikamati fasi ya usafi bora endelea kunawa mikono mara kwa mara,1,1,14,72,1,0,0
kisha kupima zaidi ya watoto mia moja ndani ya shule mwanafunzi umoja wa masomo ya maternelle alikutwa na virusi,kisha kupima zaidi ya watoto ia moja ndani ya shule mwanafunzi umoja wa masomo ya ma carner alikutwa na virusi,3,6,19,94,2,1,0
na ukunywe maji mingi,na ukunywa maji mingi,1,1,4,18,1,0,0
chama cha taifa ya basket ilishimamisha michezo kwa sababu ya ugonjwa ya virusi ya corona,chama cha taifa ya basket ilishimamisha michezo kwa sababu ya ugonjwa ya virusi ya corona,0,0,15,75,0,0,0
hivi ni vyanzo vingine vya habari juu ya muripuko ya virusi ya corona,hivi ni vyanzo vingine vya habari juu ya muripuko ya virusi ya corona,0,0,13,57,0,0,0
mara mingi ni aina ya iyi maumivu mu kifua,mara mingi ni aina ya hii maumivu mu kifua,1,2,9,34,1,0,0
kufungwa kwa masomo inaweza kuwa na matokeo mazuri wakati inachukuliwa mbio mbio,kufungwa kwa masomo inaweza kuwa na matokeo mazuri wakati inachukuliwa mbio mbio,0,0,12,69,0,0,0
kulipa kwa njia ya simu hapana franga ya kartasi ndani ya ma duka,kulipa kwa njia ya simu hapana franga ya kartasi ndani ya maduka,2,0,13,53,1,0,1
virusi inaambukia kupitia matoni yenye inatoka wakati ya kupumua na mu bitu,virusi inaambukia kupitia matoni yenye inatoka wakati ya kupumua na ku bitu,1,1,12,64,1,0,0
kuhakikisha kama kutumikisha programes na mitandao haitatia siri ya habari kuhusu wanafunzi katika hatari,kuhakikisha kama kutunikisha pérame na mitandao haitatia asingi ni habari kuhusu wanafunzi katika hatari,4,10,14,92,4,0,0
usiuze mask kama hauzihitaji,usiuze maske kama hauzihitaje,2,2,4,25,2,0,0
iyi ni shida ya kweli kama unajaribu kutoka mu eneo iliyo guswa na maambukizi,hii ni shida ya kweli kama unajaribu kutoka mu eneo iliyo guswa na maambuki,2,4,14,64,2,0,0
kama haupati namna ya kurudia mu inchi yako wasiliana na ambassade ao consulat ya inchi yako yenye kuwa karibu juu upate musaada,kama haupati namna ya kurudi mu inchi yako wasiliana na ambassade ao consulant ya inchi yako yenye kuwa karibu juu upate musaada,2,2,22,107,2,0,0
mu maeneo mingi hizi hatua zinalazimishwa,mu maeneo mingi hizi hatua zinalazimishwa,0,0,6,36,0,0,0
inaweza hata kukujulisha kuhusu hali ya fasi kwenye uko na kukujulisha juu ya kanuni na hatua za kusafiri zilizo kamatwa siku zilizo pita,kinaweza hata kukujulisha kuhusu hali ya fasi kwenye uko na kukujulisha juu ya kanuni na hatua za kusafiri zilizo kamatwa siku zilizo pita,1,1,23,115,1,0,0
unaweza pia kucheleweshwa kwa muda ya saa mingi kisha kufika kwa sababu ya kupimwa homa na hatua zinazo husiana nazo ao hata kutengwa mbali na wengine kwa muda wa juma mbili,unaweza pia kucheleweshwa kwa muda ya saa mingi kisha kufika kwa sababu ya kupimwa homa na hatua zinazo husiana nazo ao hata kutengwa mbali na wengine kwa muda wa juma mbili,0,0,31,143,0,0,0
kuhusu safari mu siku za mbele fikiria kufanya reservation yenye wanaweza kurudishia franga kama mabadiliko ya hali itakulazimisha ubadilishe mipango yako,kuhusu safari mu siku za mbele fikiria kufanya reservation yenye wanaweza kurudishia furanga kama mabadiliko ya hali itakulazimisha ubadilishe mipango yako,1,1,21,134,1,0,0
kisha kuuza essence nawa mikono yako na dawa ya maji ya kusafisha mikono desinfectant,kisha kuuza essance nawa mikono yako na dawa ya maji ya kusafisha mikono de snfecte,3,5,14,72,2,1,0
kulazimishwa kujiandikisha kupitia formulaire kwenye mtandao internet ao kupitia kartasi,kulazimishwa kujiandikisha kupitia fromiler kwenye mtandao internet ao kupitia kartafi,2,7,10,79,2,0,0
maambukizi inasambarana kwa urahisi mu mashua na huduma za afya ziko kidogo,maambukizi inasambarana kwa urahisi mu mashua na huduma za afia ziko kidogo,1,1,12,64,1,0,0
inchi mingi zimesimamisha ao zilipunguza safari za ndege za mashua na kuvuka mipaka hasa zaidi tena kwenda na kutoka mu maeneo zilizo guswa na maambukizi,inchi mingi zimeshimamisha ao zilipunguza safari za ndege za mashua na kuvuka mipaka hasa zaidi tena kwenda na kutoka mu maeneo zilizo guswa na maambukizi,1,1,25,129,1,0,0
manaake maumivu mu kifua yako ilianza iyi asubui,mana yake maumivu mu kifua yako ilianza hii asubui,3,3,8,41,2,1,0
uamuzi ya nba ilifuatana na kesi ya mchezaji wa utah jazz mwenye alikutwa na corona kisha kupimwa,uamuzi ya nba ilifuatana na kesi ya mchezaji wa utajaze mwenye alikutwa na corona kisha kupimwa,2,2,17,81,1,0,1
zaidi ya hayo umoja ya ulaya ue ilifunga mipaka yake ya inje,zaidi ya hayo umoja ya ulaya ilifunga mipaka yake ya inje,1,2,12,49,0,0,1
tayarisha muda zaidi kwa watu wenye unawasiliana nabo hasa wakati ya mabadiliko kati ya safari ya ndege ya kimataifa na safari ya ndege ya kitaifa na hasa kama safari yako ni kwenda mu inchi iliyo guswa sana na maambukizi,tayarisha muda zaidi kwa watu wenye unawasiliana nabo hasa wakati ya mabadiliko kati ya safari ya ndege ya kimataifa na safari ya ndege ya kitaifa na hasa kama safari yako ni kwenda mu inchi iliyo guswa sana na maambukizi,0,0,39,183,0,0,0
hasa epuka kusafiri na mashua za starehe,hasa epuka kusafiri na mashua za starehe,0,0,7,34,0,0,0
miji za kwanza zenye zilitumia hizi hatua zilipitisha wakati murefu mbele ya kufikisha uwingi wa vifo,fifi za kwanza zenye zilitumia hizi hatua silipitisha wakati mrefu mbele ya kufikisha uwingi wa vifi,4,5,16,86,4,0,0
tangazo ilisema wazi kama muripuko ya magonjwa ya corona huko marekani ni zarura ya kitaifa na ikatangaza kama zarura ya kitaifa ilianza tangu tarehe moja ya mwezi ya tatu karibu juma mbili mbele ya iyi tangazo,tangazo ilisema wazi kama muripuko ya magonjwa ya corona huko marekani ni zarura ya kitaifa na ikatangaza kama zarura ya kitaifa ilianza tangu tarehe 1 ya mwezi ya tatu karibu juma mbili mbele ya hii tangazo,2,6,36,175,2,0,0
alama za kidogo zinaweza kupona kwa kutumia paracetamol,alama za kidogo zinaweza kupona kwa kutumia para cycamol,2,2,8,48,1,1,0
huduma zinazo kataliwa kwa raia wa inchi zingine ndani ya ma restaurants kampuni za usafirishaji na huduma zingine,huduma zinazo kataliwa kwa raia wa inchi zingine ndani ya a ma restaurants kampuni za usafirishaji na huduma zingine,1,1,18,97,0,1,0
kutokana na tangazo ya vyombo vya habari nba inashimamisha michezo kutokana na kalendari ya michezo ya siku ya tatu mpaka siku maamuzi mupya itatolewa,kutokana na tangazo ya vyombo vya habari nba inashimamisha michezo kutokana na kalendari ya michezo ya siku ya tatu mpaka siku maamuzi mupya itatolewa,0,0,24,127,0,0,0
safisha vitu na fasi zenye watu wengi wanagusa kama vile mikono poignees ya mulango telefone na telecommande ya television kwa kutumia kitu ya kupanguza ya kawaida,safishe vitu na fasi zenye watu wengine wanagusa kama vile mikono panya ya mulango telefone na telecomande ya television kwa kutumia kitu ya kupanguza ya kawaida,4,10,26,138,4,0,0
sasa kama inawezekana reserver wekeza safari ya ndege ya moja kwa moja na kama haiko vile fikiria kwa uangalifu mahali kwenye unasafiri,sasa kama inawezekana reservin safari ya ndege ya moja kwa moja na kama haiko vile fikiria kwa uangalifu mahali kwenye unasafiri,2,8,22,114,1,0,1
kama hauko kwako nyumbani na hasa kama uko inje ya inchi fikiria kurudia haraka iwezekanavyo juu inaweza kuwa nguvu zaidi wakati mashurti inaendelea kubadilika,kama hauko kwako nyumbani na hasa kama uko inje ya inchi fikiria kurudi haraka iwezekanavyo juu inaweza kuwa nguvu zaidi wakati mashurti inaendelea kubadilika,1,1,24,136,1,0,0
watoto kidogo waliripotiwa kugonjwa na wengi kati yabo wako na ma alama kidogo na za kawaida hata kama wengi kati yabo wanapatikana na ugonjwa ya mafafa,watoto kidogo waliripotiwa kugonjwa na wengi kati yabo hoko na ma alama kidogo na za kawaida hata kama wengi kati yabo wanapatikana na ugonjwa ya mafafa,1,2,26,127,1,0,0
shida ya kupumua maumivu ndani ya shingo maumivu ya kichwa maumivu ya mwili ao kukohola bya makamasi nazo ni moja ya alama zenye haziko za kawaida,shida ya kupumua maumivu ndani ya shingo maumivu ya kichwa maumivu ya mwili aukukola bya makamasi nanzo ni moja ya alama zenye haziko za kawaida,3,4,26,121,2,0,1
na iko karibuni na alama za kufanana,na anamaalama karibu sawa sawa,6,19,7,30,4,0,2
minasikia maumivu ndani ya kifua hapa mbele ya kifua,minasikia  maumivu ndani ya kifua hapa mbele ya kifuma,1,1,9,44,1,0,0
kuko habari mingi za uwongo na vizingishio juu ya virusi zenye zinasemakana kwenye mitandao na hata na wafanyakazi wa serkali kwa hivyo kuwa mwangalifu na njia zenye unatumia kwa kupata habari,kuko habari mingi za uwongo na vizingishio juu ya virusi zenye zinasemekana kwenye mitandao na hata na wafanyakazi wa serkali kwa hiyo kwa mwangalifu na njia zenye unatumia kwa kupata habari,3,3,31,162,3,0,0
kisha kunawa mikono na mbele ya kuikala tumikisha kitambala yenye iko amo dawa kwa kupanguza buchafu pembeni ya kiti yako,kisha kunawa mikono na mbele ya kuikala tumikisha kitambala yenye iko a mo dawa kwa kupunguza uchafu pembeni ya kiti yako,4,2,20,102,3,1,0
mara mingi elimu ya ngazi ya tatu iko na elimu ya msingi hadi elimu ya chuo kikuu na mafundisho na mafunzo ya kiufundi,mara mingi elimu ya ngazi ya tato iko na elimu ya msingi hadi elimu ya chuo ku kikuu na mafundisho na mafunzo ya kiufundi,2,3,23,96,1,1,0
nba haikutambulisha jina ya ule mchezaji katika tangazo yake,embier haikutambulisha jina ya ule mchezaji katika tangazo yake,1,5,9,52,1,0,0
unajua kama uko na matatizo ya ugonjwa wa moyo,unajua kama uko na matatizo ya ugonjwa wa moyo,0,0,9,38,0,0,0
inawezekana uko na maumivu mu kifua,inawezekana uko na laumivu mu kifua,1,1,6,30,1,0,0
